אוכל,יחידה,פחמימה,חלבון,שומן,קלוריות,וולידציה
_,1.0,0.0,0.0,0.0,0.0,
אבקה,1.0,2.0,24.0,1.0,110.0,113
אולין בוטנים קרמל,1.0,19.1,20.0,10.9,234.0,254.5
אורז,100.0,78.0,8.8,0.0,350.0,347.2
אצבעות מוצרלה,1.0,0.0,5.2,4.3,59.0,59.5
אצבעות עמק,1.0,0.0,4.9,6.0,74.0,73.6
בטטה,100.0,20.1,1.6,0.0,86.0,86.8
ביצה,1.0,0.5,8.5,6.5,97.0,94.5
בננה,100.0,23.4,1.0,0.5,92.0,102.1
בצל,100.0,9.34,1.1,0.1,40.0,42.66
גזר,100.0,10.0,0.0,0.0,41.0,40
גיינר,100.0,72.0,16.0,4.0,397.0,388
גמבה,100.0,6.0,1.0,0.3,31.0,30.7
גרנולה לא מתוקה,100.0,51.8,14.7,14.5,384.0,396.5
גרנולה שוקולד ,100.0,63.0,9.0,15.0,435.0,423
דבש,100.0,80.0,0.0,0.0,320.0,320
זית,4.0,0.0,0.0,2.0,15.0,18
חזה עוף,100.0,0.0,25.0,2.5,120.0,122.5
חטיף חלבון מקסברנר,1.0,17.0,21.0,14.0,276.0,278
חטיף חלבון פיסטוק,1.0,21.7,15.0,10.0,212.0,236.8
חטיף טודיי,1.0,16.0,18.0,3.2,185.0,164.8
חטיף נטור ואלי,1.0,27.0,3.7,7.5,195.0,190.3
חלבון ביצה,1.0,0.2,3.6,0.1,17.2,16.1
טבורוג שלוש אחוז,100.0,3.5,15.4,3.0,103.0,102.6
טונה,100.0,0.0,24.8,0.6,104.0,104.6
טופו קשה,100.0,1.0,16.0,8.0,140.0,140
יוגור פרו אחוז וחצי,1.0,6.8,21.0,3.0,140.0,138.2
יוגורט פרו זירו,1.0,6.7,21.0,0.0,116.0,110.8
יוגורט פרו מתוק,1.0,11.2,20.0,0.0,130.0,124.8
כדור תמרים,1.0,15.0,3.0,3.0,100.0,99
כוסמת,100.0,70.4,12.0,2.6,353.0,353
לחם מלא,100.0,41.0,13.0,3.0,247.0,243
לחם שחור משרד,100.0,41.1,6.0,0.8,207.0,195.6
לחמנייה ברון,1.0,68.0,10.0,5.0,360.0,357
מנה חמה בקר,1.0,45.0,7.0,13.0,325.0,325
נודלס אורז,100.0,78.6,6.4,0.8,351.0,347.2
נודלס חיטה,100.0,78.2,11.3,0.0,350.0,358
סטייקט אנטריקוט,100.0,0.0,17.0,22.0,274.0,266
סילאן,100.0,76.0,0.0,0.0,304.0,304
עגלפפון,100.0,3.5,0.0,0.0,15.0,14
עוגית חלבון,1.0,23.0,15.0,8.9,212.0,232.1
פטריות,100.0,3.3,3.0,0.3,22.0,27.9
פטריות פורטבלה,100.0,5.0,2.5,0.2,26.0,31.8
פיתות כוסמין אנג'ל,100.0,38.0,9.6,1.7,216.0,205.7
פיתות כוסמין לבן,100.0,45.0,9.3,1.4,236.0,229.8
פיתות כוסמין לוי,100.0,29.8,12.4,0.9,216.0,176.9
פיתות כוסמין מלא,100.0,34.0,8.0,1.9,198.0,185.1
פסטה אוסם,100.0,71.0,11.0,1.5,349.0,341.5
פסטרמה,1.0,1.1,3.6,0.7,24.0,25.1
פרגית,100.0,0.0,23.0,9.0,175.0,173
קוואקר,100.0,69.0,11.0,8.0,374.0,392
קוטג 5,100.0,1.5,11.0,5.0,95.0,95
קטניות,100.0,16.2,9.4,0.9,133.0,110.5
קישוא,100.0,3.3,1.2,0.2,16.0,19.8
קמח חיטה,100.0,72.0,10.4,1.0,339.0,338.6
ריבר בוט בינוני,1.0,60.0,20.0,10.0,455.0,410
שמן זית,100.0,0.0,0.0,92.0,830.0,828
תערובת ירוקים,100.0,5.0,4.0,0.8,50.0,43.2
תפוא,100.0,20.0,1.7,0.1,86.0,87.7
מצת כוסמין,100.0,71.0,14.4,1.4,361.0,354.2
יוגורט סויה,1.0,12.0,20.0,6.0,190.0,182
